Date,Open,High,Low,Close,Volume
2023-02-17,60080.27,61508.04,59899.96,58181.22,4009758
2023-02-18,60186.84,60154.44,59890.86,59498.45,1889465
2023-02-19,58739.42,60835.94,59559.03,60503.44,1533636
2023-02-20,61878.34,62724.8,57883.35,60012.55,4038370
2023-02-21,61100.53,60718.69,58155.29,61425.96,1038102
2023-02-22,61758.0,60434.68,59553.41,60634.77,1074460
2023-02-23,61579.31,61468.36,57950.77,58651.74,2413354
2023-02-24,60391.6,62956.95,57508.48,58282.27,4235658
2023-02-25,61687.5,60726.17,58670.4,60569.68,4676817
2023-02-26,58353.97,62016.41,59808.46,58106.05,4773166
2023-02-27,58783.93,62284.86,59088.09,60343.1,2776203
2023-02-28,58180.91,60712.91,58710.18,61760.92,3276360
2023-03-01,59301.32,62184.65,57291.53,60301.9,4300425
2023-03-02,59554.71,61103.35,58845.02,59552.68,1213945
2023-03-03,59085.4,61896.92,59970.16,60573.15,1231915
2023-03-04,61314.95,61900.59,57420.25,59833.01,3825104
2023-03-05,59427.01,61607.32,58554.99,60182.47,3305276
2023-03-06,59123.74,60270.87,59632.12,61765.86,3534629
2023-03-07,60170.78,62505.91,59222.31,59544.41,1525830
2023-03-08,58563.7,60962.34,59091.05,61844.76,2332397
2023-03-09,61208.79,60559.56,59107.45,61621.4,4323532
2023-03-10,58298.2,60122.33,58078.47,58783.16,4851431
2023-03-11,61947.55,61772.68,57880.78,58277.45,3136233
2023-03-12,61088.98,62032.69,59428.08,58403.11,1718216
2023-03-13,58794.86,60049.76,59430.34,58072.89,3452401
2023-03-14,58022.09,61536.28,59601.22,58377.77,2268506
2023-03-15,61261.85,60679.49,59739.72,60732.03,1805497
2023-03-16,60827.43,61935.52,58534.03,58284.75,1517313
2023-03-17,60916.03,60523.1,58504.55,59275.9,2263108
2023-03-18,61085.08,62072.81,59394.89,61379.5,3709532
2023-03-19,58296.18,61160.21,58949.89,58093.09,4665060
2023-03-20,59433.86,62810.19,59105.9,61257.87,4462565
2023-03-21,58463.48,60412.56,59387.38,59127.42,2337682
2023-03-22,61452.41,61023.2,59670.02,58472.66,2076871
2023-03-23,60493.19,60340.42,58013.99,60786.95,2062383
2023-03-24,59323.59,62774.08,58126.75,60515.77,4581292
2023-03-25,58254.23,62632.02,57281.95,61509.89,3254656
2023-03-26,59243.93,60773.82,58734.84,60940.28,3049365
2023-03-27,59300.73,61979.95,57107.83,61213.92,2286643
2023-03-28,60918.42,62451.67,58396.79,59128.14,2533584
2023-03-29,60550.23,61665.6,58627.93,58709.76,3006342
2023-03-30,61548.85,61588.95,57859.62,61002.46,3789592
2023-03-31,59888.86,60725.56,58772.5,61227.34,1394540
2023-04-01,58478.38,60279.31,57091.5,61962.02,2926275
2023-04-02,60852.98,62691.65,57112.04,59650.47,3615075
2023-04-03,61043.14,62701.25,59467.8,59488.07,2215557
2023-04-04,60245.11,61899.3,58080.57,61105.65,1744699
2023-04-05,61083.87,61017.09,57381.18,59363.21,3117022
2023-04-06,59975.18,61047.63,58566.73,61723.03,1952082
2023-04-07,60090.93,62177.87,59309.98,61433.65,4348924
2023-04-08,59710.16,62691.33,57647.46,59715.98,1248683
2023-04-09,58101.68,62661.26,58868.67,61003.48,4380405
2023-04-10,58431.57,62339.63,57256.04,61018.17,1026790
